teks,label,remove_user,clean_tweet,Tokenizing,tweet_tokens_fdist,tweet_tokens_WSW,Normalisasi,tweet
bank indonesia papar kerjasama kendali inflasi perkuat ekonomii ri,positif,bank indonesia papar kerjasama kendali inflasi perkuat ekonomii ri,bank indonesia papar kerjasama kendali inflasi perkuat ekonomii ri,"['bank', 'indonesia', 'papar', 'kerjasama', 'kendali', 'inflasi', 'perkuat', 'ekonomii', 'ri']",<FreqDist with 9 samples and 9 outcomes>,"['bank', 'indonesia', 'papar', 'kerjasama', 'kendali', 'inflasi', 'perkuat', 'ekonomii', 'ri']","['bank', 'indonesia', 'papar', 'kerjasama', 'kendali', 'inflasi', 'perkuat', 'ekonomii', 'ri']","['bank', 'indonesia', 'papar', 'kerjasama', 'kendali', 'inflasi', 'kuat', 'ekonomi', 'ri']"
presiden laju angka inflasi indonesia kendali patut syukur negara,positif,presiden laju angka inflasi indonesia kendali patut syukur negara,presiden laju angka inflasi indonesia kendali patut syukur negara,"['presiden', 'laju', 'angka', 'inflasi', 'indonesia', 'kendali', 'patut', 'syukur', 'negara']",<FreqDist with 9 samples and 9 outcomes>,"['presiden', 'laju', 'angka', 'inflasi', 'indonesia', 'kendali', 'patut', 'syukur', 'negara']","['presiden', 'laju', 'angka', 'inflasi', 'indonesia', 'kendali', 'patut', 'syukur', 'negara']","['presiden', 'laju', 'angka', 'inflasi', 'indonesia', 'kendali', 'patut', 'syukur', 'negara']"
perintah optimis inflasi bawah,positif,perintah optimis inflasi bawah,perintah optimis inflasi bawah,"['perintah', 'optimis', 'inflasi', 'bawah']",<FreqDist with 4 samples and 4 outcomes>,"['perintah', 'optimis', 'inflasi']","['perintah', 'optimis', 'inflasi']","['perintah', 'optimis', 'inflasi']"
anggota koramil ngrampal giat patroli monitoring spbu rangka pantau inflasi bbm wilayah,positif,anggota koramil ngrampal giat patroli monitoring spbu rangka pantau inflasi bbm wilayah,anggota koramil ngrampal giat patroli monitoring spbu rangka pantau inflasi bbm wilayah,"['anggota', 'koramil', 'ngrampal', 'giat', 'patroli', 'monitoring', 'spbu', 'rangka', 'pantau', 'inflasi', 'bbm', 'wilayah']",<FreqDist with 12 samples and 12 outcomes>,"['anggota', 'koramil', 'ngrampal', 'giat', 'patroli', 'monitoring', 'spbu', 'rangka', 'pantau', 'inflasi', 'bbm', 'wilayah']","['anggota', 'koramil', 'ngrampal', 'giat', 'patroli', 'monitoring', 'spbu', 'rangka', 'pantau', 'inflasi', 'bbm', 'wilayah']","['anggota', 'koramil', 'ngrampal', 'giat', 'patroli', 'monitoring', 'spbu', 'rangka', 'pantau', 'inflasi', 'bbm', 'wilayah']"
laju inflasi indonesia turun bawah,positif,laju inflasi indonesia turun bawah,laju inflasi indonesia turun bawah,"['laju', 'inflasi', 'indonesia', 'turun', 'bawah']",<FreqDist with 5 samples and 5 outcomes>,"['laju', 'inflasi', 'indonesia', 'turun']","['laju', 'inflasi', 'indonesia', 'turun']","['laju', 'inflasi', 'indonesia', 'turun']"
laksana giat giat kendali inflasi operasi pasar murah laksana walikota samarinda,positif,laksana giat giat kendali inflasi operasi pasar murah laksana walikota samarinda,laksana giat giat kendali inflasi operasi pasar murah laksana walikota samarinda,"['laksana', 'giat', 'giat', 'kendali', 'inflasi', 'operasi', 'pasar', 'murah', 'laksana', 'walikota', 'samarinda']",<FreqDist with 9 samples and 11 outcomes>,"['laksana', 'giat', 'giat', 'kendali', 'inflasi', 'operasi', 'pasar', 'murah', 'laksana', 'walikota', 'samarinda']","['laksana', 'giat', 'giat', 'kendali', 'inflasi', 'operasi', 'pasar', 'murah', 'laksana', 'walikota', 'samarinda']","['laksana', 'giat', 'giat', 'kendali', 'inflasi', 'operasi', 'pasar', 'murah', 'laksana', 'walikota', 'samarinda']"
umkm milik multiplier effect kuat ekonomii indonesia karena bri fokus tumbuh kembang umkm naik inflasi daya biaya komprehensif,positif,umkm milik multiplier effect kuat ekonomii indonesia karena bri fokus tumbuh kembang umkm naik inflasi daya biaya komprehensif,umkm milik multiplier effect kuat ekonomii indonesia karena bri fokus tumbuh kembang umkm naik inflasi daya biaya komprehensif,"['umkm', 'milik', 'multiplier', 'effect', 'kuat', 'ekonomii', 'indonesia', 'karena', 'bri', 'fokus', 'tumbuh', 'kembang', 'umkm', 'naik', 'inflasi', 'daya', 'biaya', 'komprehensif']",<FreqDist with 17 samples and 18 outcomes>,"['umkm', 'milik', 'multiplier', 'effect', 'kuat', 'ekonomii', 'indonesia', 'bri', 'fokus', 'tumbuh', 'kembang', 'umkm', 'inflasi', 'daya', 'biaya', 'komprehensif']","['umkm', 'milik', 'multiplier', 'effect', 'kuat', 'ekonomii', 'indonesia', 'bri', 'fokus', 'tumbuh', 'kembang', 'umkm', 'inflasi', 'daya', 'biaya', 'komprehensif']","['umkm', 'milik', 'multiplier', 'effect', 'kuat', 'ekonomi', 'indonesia', 'bri', 'fokus', 'tumbuh', 'kembang', 'umkm', 'inflasi', 'daya', 'biaya', 'komprehensif']"
manya di tengah gempuran inflasi sekarang bri memperdayan dan membiayai umkm dengan komprehensif caranya yaitu mengalokasikan resources yang dimiliki agar umkm terus berkembang keren,positif,manya di tengah gempuran inflasi sekarang bri memperdayan dan membiayai umkm dengan komprehensif caranya yaitu mengalokasikan resources yang dimiliki agar umkm terus berkembang keren,manya di tengah gempuran inflasi sekarang bri memperdayan dan membiayai umkm dengan komprehensif caranya yaitu mengalokasikan resources yang dimiliki agar umkm terus berkembang keren,"['manya', 'di', 'tengah', 'gempuran', 'inflasi', 'sekarang', 'bri', 'memperdayan', 'dan', 'membiayai', 'umkm', 'dengan', 'komprehensif', 'caranya', 'yaitu', 'mengalokasikan', 'resources', 'yang', 'dimiliki', 'agar', 'umkm', 'terus', 'berkembang', 'keren']",<FreqDist with 23 samples and 24 outcomes>,"['manya', 'gempuran', 'inflasi', 'bri', 'memperdayan', 'membiayai', 'umkm', 'komprehensif', 'mengalokasikan', 'resources', 'dimiliki', 'umkm', 'berkembang', 'keren']","['manya', 'gempuran', 'inflasi', 'bri', 'memperdayan', 'membiayai', 'umkm', 'komprehensif', 'mengalokasikan', 'resources', 'dimiliki', 'umkm', 'berkembang', 'keren']","['manya', 'gempur', 'inflasi', 'bri', 'memperdayan', 'biaya', 'umkm', 'komprehensif', 'alokasi', 'resources', 'milik', 'umkm', 'kembang', 'keren']"
hadap gejolak global ri jaga stabil inflasi tingkat inflasi terjaga,positif,hadap gejolak global ri jaga stabil inflasi tingkat inflasi terjaga,hadap gejolak global ri jaga stabil inflasi tingkat inflasi terjaga,"['hadap', 'gejolak', 'global', 'ri', 'jaga', 'stabil', 'inflasi', 'tingkat', 'inflasi', 'terjaga']",<FreqDist with 9 samples and 10 outcomes>,"['hadap', 'gejolak', 'global', 'ri', 'jaga', 'stabil', 'inflasi', 'tingkat', 'inflasi', 'terjaga']","['hadap', 'gejolak', 'global', 'ri', 'jaga', 'stabil', 'inflasi', 'tingkat', 'inflasi', 'terjaga']","['hadap', 'gejolak', 'global', 'ri', 'jaga', 'stabil', 'inflasi', 'tingkat', 'inflasi', 'jaga']"
laju inflasi oktober rendah kira langkah sesuai harga bbm,positif,laju inflasi oktober rendah kira langkah sesuai harga bbm,laju inflasi oktober rendah kira langkah sesuai harga bbm,"['laju', 'inflasi', 'oktober', 'rendah', 'kira', 'langkah', 'sesuai', 'harga', 'bbm']",<FreqDist with 9 samples and 9 outcomes>,"['laju', 'inflasi', 'oktober', 'rendah', 'langkah', 'sesuai', 'harga', 'bbm']","['laju', 'inflasi', 'oktober', 'rendah', 'langkah', 'sesuai', 'harga', 'bbm']","['laju', 'inflasi', 'oktober', 'rendah', 'langkah', 'sesuai', 'harga', 'bbm']"
membahas masalah umkm sektor umkm masih menunjukan pertumbuhan bisnis yang optimistis di tengah tantangan laju,positif,membahas masalah umkm sektor umkm masih menunjukan pertumbuhan bisnis yang optimistis di tengah tantangan laju,membahas masalah umkm sektor umkm masih menunjukan pertumbuhan bisnis yang optimistis di tengah tantangan laju,"['membahas', 'masalah', 'umkm', 'sektor', 'umkm', 'masih', 'menunjukan', 'pertumbuhan', 'bisnis', 'yang', 'optimistis', 'di', 'tengah', 'tantangan', 'laju']",<FreqDist with 14 samples and 15 outcomes>,"['membahas', 'umkm', 'sektor', 'umkm', 'menunjukan', 'pertumbuhan', 'bisnis', 'optimistis', 'tantangan', 'laju']","['membahas', 'umkm', 'sektor', 'umkm', 'menunjukan', 'pertumbuhan', 'bisnis', 'optimistis', 'tantangan', 'laju']","['bahas', 'umkm', 'sektor', 'umkm', 'tunjuk', 'tumbuh', 'bisnis', 'optimistis', 'tantang', 'laju']"
tengah sesuai harga bbm perintah indonesia konsisten jaga tingkat inflasi ekonomii indonesia tumbuh,positif,tengah sesuai harga bbm perintah indonesia konsisten jaga tingkat inflasi ekonomii indonesia tumbuh,tengah sesuai harga bbm perintah indonesia konsisten jaga tingkat inflasi ekonomii indonesia tumbuh,"['tengah', 'sesuai', 'harga', 'bbm', 'perintah', 'indonesia', 'konsisten', 'jaga', 'tingkat', 'inflasi', 'ekonomii', 'indonesia', 'tumbuh']",<FreqDist with 12 samples and 13 outcomes>,"['sesuai', 'harga', 'bbm', 'perintah', 'indonesia', 'konsisten', 'jaga', 'tingkat', 'inflasi', 'ekonomii', 'indonesia', 'tumbuh']","['sesuai', 'harga', 'bbm', 'perintah', 'indonesia', 'konsisten', 'jaga', 'tingkat', 'inflasi', 'ekonomii', 'indonesia', 'tumbuh']","['sesuai', 'harga', 'bbm', 'perintah', 'indonesia', 'konsisten', 'jaga', 'tingkat', 'inflasi', 'ekonomi', 'indonesia', 'tumbuh']"
kerjasama perintah pusat perintah daerah tekan lonjak inflasi efektif,positif,kerjasama perintah pusat perintah daerah tekan lonjak inflasi efektif,kerjasama perintah pusat perintah daerah tekan lonjak inflasi efektif,"['kerjasama', 'perintah', 'pusat', 'perintah', 'daerah', 'tekan', 'lonjak', 'inflasi', 'efektif']",<FreqDist with 8 samples and 9 outcomes>,"['kerjasama', 'perintah', 'pusat', 'perintah', 'daerah', 'tekan', 'lonjak', 'inflasi', 'efektif']","['kerjasama', 'perintah', 'pusat', 'perintah', 'daerah', 'tekan', 'lonjak', 'inflasi', 'efektif']","['kerjasama', 'perintah', 'pusat', 'perintah', 'daerah', 'tekan', 'lonjak', 'inflasi', 'efektif']"
kendali laju inflasi tahan pangan,positif,kendali laju inflasi tahan pangan,kendali laju inflasi tahan pangan,"['kendali', 'laju', 'inflasi', 'tahan', 'pangan']",<FreqDist with 5 samples and 5 outcomes>,"['kendali', 'laju', 'inflasi', 'tahan', 'pangan']","['kendali', 'laju', 'inflasi', 'tahan', 'pangan']","['kendali', 'laju', 'inflasi', 'tahan', 'pangan']"
perintah kendali inflasi,positif,perintah kendali inflasi,perintah kendali inflasi,"['perintah', 'kendali', 'inflasi']",<FreqDist with 3 samples and 3 outcomes>,"['perintah', 'kendali', 'inflasi']","['perintah', 'kendali', 'inflasi']","['perintah', 'kendali', 'inflasi']"
negara kendali inflasi indonesia bantua bbm untuk rakyat blt bbm tepat sasaran,positif,negara kendali inflasi indonesia bantua bbm untuk rakyat blt bbm tepat sasaran,negara kendali inflasi indonesia bantua bbm untuk rakyat blt bbm tepat sasaran,"['negara', 'kendali', 'inflasi', 'indonesia', 'bantua', 'bbm', 'untuk', 'rakyat', 'blt', 'bbm', 'tepat', 'sasaran']",<FreqDist with 11 samples and 12 outcomes>,"['negara', 'kendali', 'inflasi', 'indonesia', 'bantua', 'bbm', 'rakyat', 'blt', 'bbm', 'sasaran']","['negara', 'kendali', 'inflasi', 'indonesia', 'bantua', 'bbm', 'rakyat', 'blt', 'bbm', 'sasaran']","['negara', 'kendali', 'inflasi', 'indonesia', 'bantua', 'bbm', 'rakyat', 'blt', 'bbm', 'sasar']"
keren inflasi oktober rendah september inflasi indonesia kendali,positif,keren inflasi oktober rendah september inflasi indonesia kendali,keren inflasi oktober rendah september inflasi indonesia kendali,"['keren', 'inflasi', 'oktober', 'rendah', 'september', 'inflasi', 'indonesia', 'kendali']",<FreqDist with 7 samples and 8 outcomes>,"['keren', 'inflasi', 'oktober', 'rendah', 'september', 'inflasi', 'indonesia', 'kendali']","['keren', 'inflasi', 'oktober', 'rendah', 'september', 'inflasi', 'indonesia', 'kendali']","['keren', 'inflasi', 'oktober', 'rendah', 'september', 'inflasi', 'indonesia', 'kendali']"
wahhh tadi baca berita indeks bisnis umkm bri kuartal bisnis umkm tetap tumbuh di tengah kenaikan inflasi keren sih,positif,wahhh tadi baca berita indeks bisnis umkm bri kuartal bisnis umkm tetap tumbuh di tengah kenaikan inflasi keren sih,wahhh tadi baca berita indeks bisnis umkm bri kuartal bisnis umkm tetap tumbuh di tengah kenaikan inflasi keren sih,"['wahhh', 'tadi', 'baca', 'berita', 'indeks', 'bisnis', 'umkm', 'bri', 'kuartal', 'bisnis', 'umkm', 'tetap', 'tumbuh', 'di', 'tengah', 'kenaikan', 'inflasi', 'keren', 'sih']",<FreqDist with 17 samples and 19 outcomes>,"['wahhh', 'baca', 'berita', 'indeks', 'bisnis', 'umkm', 'bri', 'kuartal', 'bisnis', 'umkm', 'tumbuh', 'kenaikan', 'inflasi', 'keren']","['wahhh', 'baca', 'berita', 'indeks', 'bisnis', 'umkm', 'bri', 'kuartal', 'bisnis', 'umkm', 'tumbuh', 'kenaikan', 'inflasi', 'keren']","['wahhh', 'baca', 'berita', 'indeks', 'bisnis', 'umkm', 'bri', 'kuartal', 'bisnis', 'umkm', 'tumbuh', 'naik', 'inflasi', 'keren']"
perintah milik strategi jitu buruk inflasi parah salah satu beri,positif,perintah milik strategi jitu buruk inflasi parah salah satu beri,perintah milik strategi jitu buruk inflasi parah salah satu beri,"['perintah', 'milik', 'strategi', 'jitu', 'buruk', 'inflasi', 'parah', 'salah', 'satu', 'beri']",<FreqDist with 10 samples and 10 outcomes>,"['perintah', 'milik', 'strategi', 'jitu', 'buruk', 'inflasi', 'parah', 'salah']","['perintah', 'milik', 'strategi', 'jitu', 'buruk', 'inflasi', 'parah', 'salah']","['perintah', 'milik', 'strategi', 'jitu', 'buruk', 'inflasi', 'parah', 'salah']"
laju inflasi aman,positif,laju inflasi aman,laju inflasi aman,"['laju', 'inflasi', 'aman']",<FreqDist with 3 samples and 3 outcomes>,"['laju', 'inflasi', 'aman']","['laju', 'inflasi', 'aman']","['laju', 'inflasi', 'aman']"
kendali inflasi lancar,positif,kendali inflasi lancar,kendali inflasi lancar,"['kendali', 'inflasi', 'lancar']",<FreqDist with 3 samples and 3 outcomes>,"['kendali', 'inflasi', 'lancar']","['kendali', 'inflasi', 'lancar']","['kendali', 'inflasi', 'lancar']"
negara kendali inflasi,positif,negara kendali inflasi,negara kendali inflasi,"['negara', 'kendali', 'inflasi']",<FreqDist with 3 samples and 3 outcomes>,"['negara', 'kendali', 'inflasi']","['negara', 'kendali', 'inflasi']","['negara', 'kendali', 'inflasi']"
news perintah pasti program pasar murah daerah bantu tekan inflasi aceh hadir dukung,positif,news perintah pasti program pasar murah daerah bantu tekan inflasi aceh hadir dukung,news perintah pasti program pasar murah daerah bantu tekan inflasi aceh hadir dukung,"['news', 'perintah', 'pasti', 'program', 'pasar', 'murah', 'daerah', 'bantu', 'tekan', 'inflasi', 'aceh', 'hadir', 'dukung']",<FreqDist with 13 samples and 13 outcomes>,"['news', 'perintah', 'program', 'pasar', 'murah', 'daerah', 'bantu', 'tekan', 'inflasi', 'aceh', 'hadir', 'dukung']","['news', 'perintah', 'program', 'pasar', 'murah', 'daerah', 'bantu', 'tekan', 'inflasi', 'aceh', 'hadir', 'dukung']","['news', 'perintah', 'program', 'pasar', 'murah', 'daerah', 'bantu', 'tekan', 'inflasi', 'aceh', 'hadir', 'dukung']"
bpn gandeng bps dukung data indonesia kendali inflasi baru berita bpn,positif,bpn gandeng bps dukung data indonesia kendali inflasi baru berita bpn,bpn gandeng bps dukung data indonesia kendali inflasi baru berita bpn,"['bpn', 'gandeng', 'bps', 'dukung', 'data', 'indonesia', 'kendali', 'inflasi', 'baru', 'berita', 'bpn']",<FreqDist with 10 samples and 11 outcomes>,"['bpn', 'gandeng', 'bps', 'dukung', 'data', 'indonesia', 'kendali', 'inflasi', 'berita', 'bpn']","['bpn', 'gandeng', 'bps', 'dukung', 'data', 'indonesia', 'kendali', 'inflasi', 'berita', 'bpn']","['bpn', 'gandeng', 'bps', 'dukung', 'data', 'indonesia', 'kendali', 'inflasi', 'berita', 'bpn']"
maluku utara adalah provinsi paling bahagia inflasi dan penganggurannya paling rendah dan pertumbuhan ekonomiinya,positif,maluku utara adalah provinsi paling bahagia inflasi dan penganggurannya paling rendah dan pertumbuhan ekonomiinya,maluku utara adalah provinsi paling bahagia inflasi dan penganggurannya paling rendah dan pertumbuhan ekonomiinya,"['maluku', 'utara', 'adalah', 'provinsi', 'paling', 'bahagia', 'inflasi', 'dan', 'penganggurannya', 'paling', 'rendah', 'dan', 'pertumbuhan', 'ekonomiinya']",<FreqDist with 12 samples and 14 outcomes>,"['maluku', 'utara', 'provinsi', 'bahagia', 'inflasi', 'penganggurannya', 'rendah', 'pertumbuhan', 'ekonomiinya']","['maluku', 'utara', 'provinsi', 'bahagia', 'inflasi', 'penganggurannya', 'rendah', 'pertumbuhan', 'ekonomiinya']","['malu', 'utara', 'provinsi', 'bahagia', 'inflasi', 'anggur', 'rendah', 'tumbuh', 'ekonomi']"
perintah langkah antisipasi kendali laju inflasi,positif,perintah langkah antisipasi kendali laju inflasi,perintah langkah antisipasi kendali laju inflasi,"['perintah', 'langkah', 'antisipasi', 'kendali', 'laju', 'inflasi']",<FreqDist with 6 samples and 6 outcomes>,"['perintah', 'langkah', 'antisipasi', 'kendali', 'laju', 'inflasi']","['perintah', 'langkah', 'antisipasi', 'kendali', 'laju', 'inflasi']","['perintah', 'langkah', 'antisipasi', 'kendali', 'laju', 'inflasi']"
gubernur sumut harap depan kadin bantu kendali inflasi bersama sama jaga sedia,positif,gubernur sumut harap depan kadin bantu kendali inflasi bersama sama jaga sedia,gubernur sumut harap depan kadin bantu kendali inflasi bersama sama jaga sedia,"['gubernur', 'sumut', 'harap', 'depan', 'kadin', 'bantu', 'kendali', 'inflasi', 'bersama', 'sama', 'jaga', 'sedia']",<FreqDist with 12 samples and 12 outcomes>,"['gubernur', 'sumut', 'harap', 'kadin', 'bantu', 'kendali', 'inflasi', 'jaga', 'sedia']","['gubernur', 'sumut', 'harap', 'kadin', 'bantu', 'kendali', 'inflasi', 'jaga', 'sedia']","['gubernur', 'sumut', 'harap', 'kadin', 'bantu', 'kendali', 'inflasi', 'jaga', 'sedia']"
ekonomii indonesia tumbuh jaga angka inflasi tingkat inflasi terjaga,positif,ekonomii indonesia tumbuh jaga angka inflasi tingkat inflasi terjaga,ekonomii indonesia tumbuh jaga angka inflasi tingkat inflasi terjaga,"['ekonomii', 'indonesia', 'tumbuh', 'jaga', 'angka', 'inflasi', 'tingkat', 'inflasi', 'terjaga']",<FreqDist with 8 samples and 9 outcomes>,"['ekonomii', 'indonesia', 'tumbuh', 'jaga', 'angka', 'inflasi', 'tingkat', 'inflasi', 'terjaga']","['ekonomii', 'indonesia', 'tumbuh', 'jaga', 'angka', 'inflasi', 'tingkat', 'inflasi', 'terjaga']","['ekonomi', 'indonesia', 'tumbuh', 'jaga', 'angka', 'inflasi', 'tingkat', 'inflasi', 'jaga']"
harusnya begini nih yg viral kinerja bri terus melejit meski ada inflasi bahkan menyokong umkm biar min tau baca,positif,harusnya begini nih yg viral kinerja bri terus melejit meski ada inflasi bahkan menyokong umkm biar min tau baca,harusnya begini nih yg viral kinerja bri terus melejit meski ada inflasi bahkan menyokong umkm biar min tau baca,"['harusnya', 'begini', 'nih', 'yg', 'viral', 'kinerja', 'bri', 'terus', 'melejit', 'meski', 'ada', 'inflasi', 'bahkan', 'menyokong', 'umkm', 'biar', 'min', 'tau', 'baca']",<FreqDist with 19 samples and 19 outcomes>,"['viral', 'kinerja', 'bri', 'melejit', 'inflasi', 'menyokong', 'umkm', 'min', 'baca']","['viral', 'kinerja', 'bri', 'melejit', 'inflasi', 'menyokong', 'umkm', 'admin', 'baca']","['viral', 'kerja', 'bri', 'lejit', 'inflasi', 'sokong', 'umkm', 'admin', 'baca']"
alhamdulillah inflasi terjaga menurut presiden inflasi jaga otoritas pegang fisk,positif,alhamdulillah inflasi terjaga menurut presiden inflasi jaga otoritas pegang fisk,alhamdulillah inflasi terjaga menurut presiden inflasi jaga otoritas pegang fisk,"['alhamdulillah', 'inflasi', 'terjaga', 'menurut', 'presiden', 'inflasi', 'jaga', 'otoritas', 'pegang', 'fisk']",<FreqDist with 9 samples and 10 outcomes>,"['alhamdulillah', 'inflasi', 'terjaga', 'presiden', 'inflasi', 'jaga', 'otoritas', 'pegang', 'fisk']","['alhamdulillah', 'inflasi', 'terjaga', 'presiden', 'inflasi', 'jaga', 'otoritas', 'pegang', 'fisk']","['alhamdulillah', 'inflasi', 'jaga', 'presiden', 'inflasi', 'jaga', 'otoritas', 'pegang', 'fisk']"
indonesia aman waspada hadap inflasi resesi via,positif,indonesia aman waspada hadap inflasi resesi via,indonesia aman waspada hadap inflasi resesi via,"['indonesia', 'aman', 'waspada', 'hadap', 'inflasi', 'resesi', 'via']",<FreqDist with 7 samples and 7 outcomes>,"['indonesia', 'aman', 'waspada', 'hadap', 'inflasi', 'resesi', 'via']","['indonesia', 'aman', 'waspada', 'hadap', 'inflasi', 'resesi', 'via']","['indonesia', 'aman', 'waspada', 'hadap', 'inflasi', 'resesi', 'via']"
inflation di us sudah menunjukkan penurunan dan dijangka an lebih stabil pada globally inflasi juga dijangka sudah berda di paras tertinggi dan dijangka an turun atau maintain in bukan lagi menaik,positif,inflation di us sudah menunjukkan penurunan dan dijangka an lebih stabil pada globally inflasi juga dijangka sudah berda di paras tertinggi dan dijangka an turun atau maintain in bukan lagi menaik,inflation di us sudah menunjukkan penurunan dan dijangka an lebih stabil pada globally inflasi juga dijangka sudah berda di paras tertinggi dan dijangka an turun atau maintain in bukan lagi menaik,"['inflation', 'di', 'us', 'sudah', 'menunjukkan', 'penurunan', 'dan', 'dijangka', 'an', 'lebih', 'stabil', 'pada', 'globally', 'inflasi', 'juga', 'dijangka', 'sudah', 'berda', 'di', 'paras', 'tertinggi', 'dan', 'dijangka', 'an', 'turun', 'atau', 'maintain', 'in', 'bukan', 'lagi', 'menaik']",<FreqDist with 25 samples and 31 outcomes>,"['inflation', 'us', 'penurunan', 'dijangka', 'an', 'stabil', 'globally', 'inflasi', 'dijangka', 'berda', 'paras', 'tertinggi', 'dijangka', 'an', 'turun', 'maintain', 'in', 'menaik']","['inflasi', 'us', 'penurunan', 'dijangka', 'an', 'stabil', 'globally', 'inflasi', 'dijangka', 'berda', 'paras', 'tertinggi', 'dijangka', 'an', 'turun', 'maintain', 'in', 'menaik']","['inflasi', 'us', 'turun', 'jangka', 'an', 'stabil', 'globally', 'inflasi', 'jangka', 'berda', 'paras', 'tinggi', 'jangka', 'an', 'turun', 'maintain', 'in', 'naik']"
puji tuhan mudah mudahan indonesia bebas resesi nindonesia ekonomi resesi inflasi,positif,puji tuhan mudah mudahan indonesia bebas resesi nindonesia ekonomi resesi inflasi,puji tuhan mudah mudahan indonesia bebas resesi nindonesia ekonomi resesi inflasi,"['puji', 'tuhan', 'mudah', 'mudahan', 'indonesia', 'bebas', 'resesi', 'nindonesia', 'ekonomi', 'resesi', 'inflasi']",<FreqDist with 10 samples and 11 outcomes>,"['puji', 'tuhan', 'mudah', 'mudahan', 'indonesia', 'bebas', 'resesi', 'nindonesia', 'ekonomi', 'resesi', 'inflasi']","['puji', 'tuhan', 'mudah', 'mudahan', 'indonesia', 'bebas', 'resesi', 'nindonesia', 'ekonomi', 'resesi', 'inflasi']","['puji', 'tuhan', 'mudah', 'mudah', 'indonesia', 'bebas', 'resesi', 'nindonesia', 'ekonomi', 'resesi', 'inflasi']"
kebijakan subsidi bahan bakar minyak bbm yang ditempuh pemerintah pada agustus berimplikasi positif terhadap,positif,kebijakan subsidi bahan bakar minyak bbm yang ditempuh pemerintah pada agustus berimplikasi positif terhadap,kebijakan subsidi bahan bakar minyak bbm yang ditempuh pemerintah pada agustus berimplikasi positif terhadap,"['kebijakan', 'subsidi', 'bahan', 'bakar', 'minyak', 'bbm', 'yang', 'ditempuh', 'pemerintah', 'pada', 'agustus', 'berimplikasi', 'positif', 'terhadap']",<FreqDist with 14 samples and 14 outcomes>,"['kebijakan', 'subsidi', 'bahan', 'bakar', 'minyak', 'bbm', 'ditempuh', 'pemerintah', 'agustus', 'berimplikasi', 'positif']","['kebijakan', 'subsidi', 'bahan', 'bakar', 'minyak', 'bbm', 'ditempuh', 'pemerintah', 'agustus', 'berimplikasi', 'positif']","['bijak', 'subsidi', 'bahan', 'bakar', 'minyak', 'bbm', 'tempuh', 'perintah', 'agustus', 'implikasi', 'positif']"
kamis tanggal oktober wita laksana giat giat kendali inflasi operasi,positif,kamis tanggal oktober wita laksana giat giat kendali inflasi operasi,kamis tanggal oktober wita laksana giat giat kendali inflasi operasi,"['kamis', 'tanggal', 'oktober', 'wita', 'laksana', 'giat', 'giat', 'kendali', 'inflasi', 'operasi']",<FreqDist with 9 samples and 10 outcomes>,"['kamis', 'tanggal', 'oktober', 'wita', 'laksana', 'giat', 'giat', 'kendali', 'inflasi', 'operasi']","['kamis', 'tanggal', 'oktober', 'wita', 'laksana', 'giat', 'giat', 'kendali', 'inflasi', 'operasi']","['kamis', 'tanggal', 'oktober', 'wita', 'laksana', 'giat', 'giat', 'kendali', 'inflasi', 'operasi']"
jaga perintah inflasi kendali tingkat inflasi terjaga,positif,jaga perintah inflasi kendali tingkat inflasi terjaga,jaga perintah inflasi kendali tingkat inflasi terjaga,"['jaga', 'perintah', 'inflasi', 'kendali', 'tingkat', 'inflasi', 'terjaga']",<FreqDist with 6 samples and 7 outcomes>,"['jaga', 'perintah', 'inflasi', 'kendali', 'tingkat', 'inflasi', 'terjaga']","['jaga', 'perintah', 'inflasi', 'kendali', 'tingkat', 'inflasi', 'terjaga']","['jaga', 'perintah', 'inflasi', 'kendali', 'tingkat', 'inflasi', 'jaga']"
syukur indonesia jaga dari inflasi,positif,syukur indonesia jaga dari inflasi,syukur indonesia jaga dari inflasi,"['syukur', 'indonesia', 'jaga', 'dari', 'inflasi']",<FreqDist with 5 samples and 5 outcomes>,"['syukur', 'indonesia', 'jaga', 'inflasi']","['syukur', 'indonesia', 'jaga', 'inflasi']","['syukur', 'indonesia', 'jaga', 'inflasi']"
operasi pasar murah kendali inflasi gelar kukar selengkapnya,positif,operasi pasar murah kendali inflasi gelar kukar selengkapnya,operasi pasar murah kendali inflasi gelar kukar selengkapnya,"['operasi', 'pasar', 'murah', 'kendali', 'inflasi', 'gelar', 'kukar', 'selengkapnya']",<FreqDist with 8 samples and 8 outcomes>,"['operasi', 'pasar', 'murah', 'kendali', 'inflasi', 'gelar', 'kukar', 'selengkapnya']","['operasi', 'pasar', 'murah', 'kendali', 'inflasi', 'gelar', 'kukar', 'selengkapnya']","['operasi', 'pasar', 'murah', 'kendali', 'inflasi', 'gelar', 'kukar', 'lengkap']"
